commune_norm,area_type,urban,idx_A_norm,idx_A_class,dist_norm,pressure_norm,pond
ABOMEY,Rural,0,0.2536804363902669,Medium access,0.369979216860849,0.11879216259713343,0.6
ABOMEY-CALAVI,Urban,1,1.0,Very Poor access,0.8777490093621179,1.0,0.616
ADJA-OUERE,Rural,0,0.3793823046865879,Poor access,0.4806337212205468,0.19665347101187047,0.56875
ADJARRA,Rural,0,0.530059614116811,Very Poor access,0.5649460379976492,0.3471649527538853,0.5555555555555556
ADJOHOUN,Rural,0,0.1555427506206377,Good access,0.24468479393479603,0.0568892989400817,0.5789473684210527
AGBANGNIZOUN,Rural,0,0.19994426280413852,Good access,0.231792788336161,0.12527761950101063,0.5461538461538461
AGUEGUES,Rural,0,0.32512180485873865,Medium access,0.25654358496320234,0.36051878240255236,0.6
AKPRO-MISSERETE,Rural,0,0.6659497537065399,Very Poor access,0.6642662710416566,0.3786105920958698,0.509090909090909
ALLADA,Rural,0,0.10538940583017543,Good access,0.16983484082069986,0.05264260815621169,0.6
APLAHOUE,Rural,0,0.26660633252339916,Medium access,0.28530156792403255,0.167606545433922,0.5307692307692308
ATHIEME,Rural,0,0.09972408048833771,Good access,0.09848854854769165,0.07298770184785208,0.4846153846153846
AVRANKOU,Rural,0,0.7020617887464367,Very Poor access,0.6590358965835503,0.49114466999383477,0.5333333333333333
BANIKOARA,Rural,0,0.45374686873373554,Very Poor access,0.5148944206355636,0.29041592317614984,0.5697674418604651
BANTE,Rural,0,0.43422207352493275,Poor access,0.5412586458192257,0.11589970625378493,0.485
BASSILA,Rural,0,0.18256789656448594,Good access,0.2579003080403389,0.10085602127429115,0.5961538461538461
BEMBEREKE,Rural,0,0.36840883204946734,Poor access,0.43740979538527625,0.14158615263233043,0.5
BOHICON,Rural,0,0.4603182634932005,Very Poor access,0.5191293357306697,0.2929433740695336,0.5666666666666667
BONOU,Rural,0,0.08784223685240866,Good access,0.1564149270032633,0.023185068028215666,0.5642857142857143
BOPA,Rural,0,0.1398682342568669,Good access,0.041176836406057876,0.22863179120160443,0.5692307692307692
BOUKOUMBE,Rural,0,0.3408119938013164,Poor access,0.2722218358626451,0.3252208097007026,0.5555555555555556
COBLY,Rural,0,0.37632413509337453,Poor access,0.34370983300525365,0.2977745543736896,0.5428571428571428
COME,Rural,0,0.13201842614378675,Good access,0.12163375954867958,0.17118752277102445,0.65
COPARGO,Rural,0,0.3185617418261392,Medium access,0.30311674327405086,0.2643352445608024,0.5625
COTONOU,Urban,1,0.32348534433866316,Medium access,0.22185175860270184,0.4524801362332348,0.6588235294117647
COVE,Rural,0,0.4143403087546708,Poor access,0.6494712670288132,0.1601919451193694,0.625
DANGBO,Rural,0,0.24852020186253695,Medium access,0.34147923815198455,0.12914591933105754,0.5888888888888889
DASSA-ZOUME,Rural,0,0.23949510115484549,Good access,0.3495622432401746,0.05858126275265286,0.5285714285714286
DJAKOTOMEY,Rural,0,0.5575691651112029,Very Poor access,0.5514247687816768,0.4046857229369452,0.5545454545454546
DJIDJA,Rural,0,0.26671931147265376,Medium access,0.3016691386820312,0.21585209865761734,0.60625
DJOUGOU,Rural,0,0.5570128482679797,Very Poor access,0.7740739881326576,0.2432590651755954,0.590625
DOGBO,Rural,0,0.08828970503728881,Good access,0.03484029223525224,0.14564970800957933,0.5647058823529412
GLAZOUE,Rural,0,0.33250817800713034,Poor access,0.48392648010611305,0.08414551696653302,0.5407407407407407
GOGOUNOU,Rural,0,0.22321073074429842,Good access,0.3160669389406804,0.08805355129511741,0.5586206896551724
GRAND-POPO,Rural,0,0.0,Good access,0.027938533054669024,0.0,0.5045454545454545
HOUEYOGBE,Rural,0,0.2606941457608491,Medium access,0.30098310369223413,0.1586026372385025,0.5499999999999999
IFANGNI,Rural,0,0.32917729252269284,Medium access,0.3736066167069895,0.20217823311620856,0.5533333333333333
KALALE,Rural,0,0.5114824462216686,Very Poor access,0.5625305651052879,0.24643133428356206,0.51
KANDI,Rural,0,0.42684590516308757,Poor access,0.4945331360963675,0.20523379431323413,0.525
KARIMAMA,Rural,0,0.29934820248528377,Medium access,0.22620041276308803,0.290219014174655,0.5428571428571428
KEROU,Rural,0,0.2239972389373481,Good access,0.27227780246758543,0.15411766857635556,0.5875
KETOU,Rural,0,0.7420301626379483,Very Poor access,1.0,0.16655799143973596,0.5125
KLOUEKANMEY,Rural,0,0.3274703918855784,Medium access,0.2949851331448031,0.2292197381547593,0.50625
KOUANDE,Rural,0,0.4343779258280449,Very Poor access,0.4498916040232634,0.3181866017754014,0.5666666666666667
KPOMASSE,Rural,0,0.09199945705272569,Good access,0.15986735988198106,0.03226561846102339,0.5809523809523809
LALO,Rural,0,0.37490904718742085,Poor access,0.4765432240410239,0.17105236255190837,0.55
LOKOSSA,Rural,0,0.2735357182674855,Medium access,0.10199890420410287,0.4442787454950298,0.625
MALANVILLE,Rural,0,0.362635483503372,Poor access,0.3472491304033497,0.24592148643093117,0.52
MATERI,Rural,0,0.39575596896546866,Poor access,0.2210450418786168,0.49186278211452966,0.575
N'DALI,Rural,0,0.3467267497521514,Poor access,0.4702347225813564,0.08943204449335086,0.512
NATITINGOU,Rural,0,0.35425052779777666,Poor access,0.465340512967903,0.058141414073989074,0.46923076923076923
NIKKI,Rural,0,0.31697861333340394,Medium access,0.480139379220195,0.15576868003551458,0.6333333333333333
OUAKE,Rural,0,0.32499480276949444,Medium access,0.3619542629178836,0.20347718158722655,0.55
OUASSA-PEHUNCO,Rural,0,0.6151390100957993,Very Poor access,0.49788427503379873,0.30283298853694324,0.4222222222222222
OUESSE,Rural,0,0.40244756591775516,Poor access,0.47404720131657424,0.15040867031773686,0.4956521739130435
OUIDAH,Rural,0,0.249485293755569,Medium access,0.309995605630393,0.13400368723549566,0.5535714285714286
OUINHI,Rural,0,0.36517747127169364,Poor access,0.4337604402353302,0.14039990534639038,0.5
PARAKOU,Urban,1,0.39765187916569256,Poor access,0.4994911460559768,0.19799669494845484,0.5599999999999999
PERERE,Rural,0,0.1784329111495837,Good access,0.1786211363648661,0.12787161080995918,0.52
POBE,Rural,0,0.6451106182472199,Very Poor access,0.8847213398568994,0.2916836265824679,0.5923076923076923
PORTO-NOVO,Urban,1,0.3638129040516604,Poor access,0.23888750769918607,0.47776597333917936,0.6263157894736843
SAKETE,Rural,0,0.2987856076656209,Medium access,0.3910785288124343,0.17310458554129007,0.5941176470588235
SAVALOU,Rural,0,0.34986162698492035,Poor access,0.4141549244863754,0.1671535511720308,0.5272727272727272
SAVE,Rural,0,0.7801601524240958,Very Poor access,0.7630355368436089,0.07358021893416837,0.35
SEGBANA,Rural,0,0.45174420136873267,Very Poor access,0.34772191510551265,0.23179902786188697,0.4117647058823529
SEME-PODJI,Rural,0,0.2263633859448485,Good access,0.0647713169796348,0.3602881873156778,0.58
SINENDE,Rural,0,0.47572827496824294,Very Poor access,0.44738399429916326,0.07385453541366128,0.3523809523809524
SO-AVA,Rural,0,0.3224603021612132,Medium access,0.2671442435172201,0.3451387247733976,0.6
TANGUIETA,Rural,0,0.4550989521642898,Very Poor access,0.593815134235115,0.2051103871566499,0.5636363636363636
TCHAOUROU,Rural,0,0.5002972544773124,Very Poor access,0.5629040050196177,0.2522757887295833,0.525
TOFFO,Rural,0,0.2002509532083059,Good access,0.30540946532453705,0.07602956738585644,0.5826086956521739
TORI BOSSITO,Rural,0,0.27805471009806665,Medium access,0.2942016397030974,0.19396143203895447,0.55
TOUKOUNTOUNA,Rural,0,0.12382293740174793,Good access,0.08591165033837032,0.1696678517856586,0.6
TOVIKLIN,Rural,0,0.10213418231265534,Good access,0.0,0.20158799431585997,0.5583333333333333
ZA-KPOTA,Rural,0,0.531082759583145,Very Poor access,0.6294589007186655,0.3574582849192634,0.6
ZAGNANADO,Rural,0,0.17917600498719463,Good access,0.29519489209103356,0.05555904667303904,0.5928571428571429
ZE,Rural,0,0.2929013261066269,Medium access,0.31742435656346263,0.17187772136820625,0.525
ZOGBODOMEY,Rural,0,0.4327587651171664,Poor access,0.5017433944017563,0.08576156306465986,0.43499999999999994
